asset_id,source_group,source_path,prompt_path,width,height,fps,source_total_frames,source_duration_sec,asset_index,raw_start_frame,raw_end_frame_exclusive,raw_start_sec,raw_end_sec,safe_start_frame,safe_end_frame_exclusive,safe_start_sec,safe_end_sec,safe_duration_sec,cut_in_score,cut_out_score,detector_threshold,detector_confidence,usable_for_beat_edit,notes
A014,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/30-45_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/30-45秒/情感失色症_30-45_prompt.txt,1280,736,24,358,14.916667,2,50,110,2.083333,4.583333,56,104,2.333333,4.333333,2.000000,11.900000,12.029000,4.425280,1.0000,yes,transition guard applied
A015,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/30-45_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/30-45秒/情感失色症_30-45_prompt.txt,1280,736,24,358,14.916667,3,110,232,4.583333,9.666667,116,226,4.833333,9.416667,4.583333,12.029000,13.782000,4.425280,1.0000,yes,transition guard applied
A016,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/30-45_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/30-45秒/情感失色症_30-45_prompt.txt,1280,736,24,358,14.916667,4,232,358,9.666667,14.916667,238,358,9.916667,14.916667,5.000000,13.782000,0.000000,4.425280,1.0000,yes,boundary edge
A017,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/45-60_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/45-60秒/情感失色症_45-60_prompt.txt,1280,736,24,361,15.041667,1,0,70,0.000000,2.916667,0,64,0.000000,2.666667,2.666667,0.000000,10.482000,2.500000,1.0000,yes,boundary edge
A018,primary_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/segments_4090D-48G/45-60_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/45-60秒/情感失色症_45-60_prompt.txt,1280,736,24,361,15.041667,2,70,361,2.916667,15.041667,76,361,3.166667,15.041667,11.875000,10.482000,0.000000,2.500000,1.0000,yes,boundary edge
A019,legacy_short_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output_4090D-48G/shot_01_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_01_prompt.txt,1280,736,24,90,3.750000,1,0,90,0.000000,3.750000,0,90,0.000000,3.750000,3.750000,0.000000,0.000000,2.500000,0.5000,yes,boundary edge
A020,legacy_short_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output_4090D-48G/shot_02_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_02_prompt.txt,1280,736,24,53,2.208333,1,0,53,0.000000,2.208333,0,53,0.000000,2.208333,2.208333,0.000000,0.000000,2.500000,0.5000,yes,boundary edge
A021,legacy_short_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output_4090D-48G/shot_03_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_03_prompt.txt,1280,736,24,55,2.291667,1,0,43,0.000000,1.791667,0,37,0.000000,1.541667,1.541667,0.000000,4.523000,2.739960,0.4523,yes,boundary edge
A022,legacy_short_4090D-48G,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output_4090D-48G/shot_03_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_03_prompt.txt,1280,736,24,55,2.291667,2,43,55,1.791667,2.291667,49,55,2.041667,2.291667,0.250000,4.523000,0.000000,2.739960,0.4523,no,boundary edge; too short after guard
A023,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_01_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_01_prompt.txt,1280,736,24,90,3.750000,1,0,90,0.000000,3.750000,0,90,0.000000,3.750000,3.750000,0.000000,0.000000,2.500000,0.5000,yes,boundary edge
A024,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_02_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_02_prompt.txt,1280,736,24,53,2.208333,1,0,53,0.000000,2.208333,0,53,0.000000,2.208333,2.208333,0.000000,0.000000,2.500000,0.5000,yes,boundary edge
A025,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_03_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_03_prompt.txt,1280,736,24,53,2.208333,1,0,53,0.000000,2.208333,0,53,0.000000,2.208333,2.208333,0.000000,0.000000,2.500000,0.5000,yes,boundary edge
A026,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_04_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_04_prompt.txt,1280,736,24,73,3.041667,1,0,23,0.000000,0.958333,0,17,0.000000,0.708333,0.708333,0.000000,4.160000,2.500000,0.4160,no,boundary edge; too short after guard
A027,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_04_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_04_prompt.txt,1280,736,24,73,3.041667,2,23,73,0.958333,3.041667,29,73,1.208333,3.041667,1.833333,4.160000,0.000000,2.500000,0.4160,yes,boundary edge
A028,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_05_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_05_prompt.txt,1280,736,24,53,2.208333,1,0,53,0.000000,2.208333,0,53,0.000000,2.208333,2.208333,0.000000,0.000000,2.500000,0.5000,yes,boundary edge
A029,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_06_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_06_prompt.txt,1280,736,24,73,3.041667,1,0,73,0.000000,3.041667,0,73,0.000000,3.041667,3.041667,0.000000,0.000000,2.500000,0.5000,yes,boundary edge
A030,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_07_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_07_prompt.txt,1280,736,24,53,2.208333,1,0,53,0.000000,2.208333,0,53,0.000000,2.208333,2.208333,0.000000,0.000000,2.500000,0.5000,yes,boundary edge
A031,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_08_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_08_prompt.txt,1280,736,24,73,3.041667,1,0,73,0.000000,3.041667,0,73,0.000000,3.041667,3.041667,0.000000,0.000000,2.500000,0.5000,yes,boundary edge
A032,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_09_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_09_prompt.txt,1280,736,24,90,3.750000,1,0,25,0.000000,1.041667,0,19,0.000000,0.791667,0.791667,0.000000,7.648000,2.500000,0.7648,no,boundary edge; too short after guard
A033,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_09_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_09_prompt.txt,1280,736,24,90,3.750000,2,25,90,1.041667,3.750000,31,90,1.291667,3.750000,2.458333,7.648000,0.000000,2.500000,0.7648,yes,boundary edge
A034,legacy_short_batch,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/output/shot_10_00001-audio.mp4,/Users/apple/Documents/VideoMake/projects/情感失色症_60秒/shots/shot_10_prompt.txt,1280,736,24,73,3.041667,1,0,73,0.000000,3.041667,0,73,0.000000,3.041667,3.041667,0.000000,0.000000,2.500000,0.5000,yes,boundary edge
